a2-boone-higman-via-rs-two-graph-full-groups	route	vertex-free-type-rotating-a2-groups-satisfy-boone-higman		
a2-kernel-removal-iff-image-satisfies-pbh	claim		**ESTABLISHED**	
a2-kernel-removal-via-pbh-and-recursive-kernels	route	a2-pairs-embed-in-a2-pairs-with-fng-kernels		
a5-arithmetic-shell-envelope-embeds-in-fp-simple-group	claim			
a5-arithmetic-shell-envelope-is-finitely-presented	claim			
a5-arithmetic-shell-envelope-is-not-finitely-presented	claim		**ESTABLISHED**	
a5-free-product-has-simple-arithmetic-shell-envelope	claim			
accessible-shell-inputs-admit-no-shift-normalizing-enumeration	claim		**ESTABLISHED**	
actor-algebra-cannot-wordize-shell-phase-tag	claim			
admissibly-oriented-artin-groups-satisfy-boone-higman	claim		**OPEN.**	
algebra-boone-higman-conjecture	claim		**OPEN.**	
algebraic-linear-groups-satisfy-boone-higman	claim		**ESTABLISHED.**	
arithmetic-shell-envelopes-have-decidable-word-problem	claim			
artin-groups-satisfy-boone-higman	claim		**OPEN.**	
artin-pbh-reduces-to-odd-component-cliques	claim			
atlas-collision-shell-boundary-floor-reduction	route	atlas-six-relator-regular-face-defect-floor		
atlas-finite-nontrivial-s3-shell-pays-boundary	claim		**REFUTED.**	REFUTED_BY
aut-free-groups-satisfy-permutational-boone-higman	claim		**ESTABLISHED (literature import).**	
automatic-groups-satisfy-boone-higman	claim		**OPEN.**	
b-tilde-artin-groups-satisfy-permutational-boone-higman	claim		**ESTABLISHED.**	
balanced-raw-lamp-orbit-cannot-approximate-shell-pvm	claim			
baumslag-char-zero-metabelian-group-satisfies-boone-higman	claim		**ESTABLISHED (2026-09-12)**	
baumslag-gersten-group-satisfies-boone-higman	claim		**OPEN.**	
baumslag-gersten-primitive-shell-microstates	route	baumslag-gersten-mark-survives-opnorm-corona		
baumslag-solitar-and-free-by-cyclic-satisfy-boone-higman	claim		**ESTABLISHED (literature import).**	
bg-cycle-triviality-is-closed-under-the-pbh-calculus	claim		**ESTABLISHED**	
bh-direct-products-via-mif-envelopes	route	boone-higman-closed-under-finite-direct-products		
bh-embeddability-forces-decidable-edge-membership	claim			
bh-embeddability-survives-decidable-edge-hnn	claim		**OPEN.**	
bh-embeddability-survives-magnus-subgroup-hnn	claim		**OPEN.**	
bh-implies-pbh-iff-fp-simple-groups-satisfy-pbh	claim		**ESTABLISHED**	
bh-product-closure-via-a2-kernel-removal	route	boone-higman-closed-under-finite-direct-products		
bh-product-closure-via-boone-higman-conjecture	route	boone-higman-closed-under-finite-direct-products		
bh-product-closure-via-relatively-simple-kernel-removal	route	boone-higman-closed-under-finite-direct-products		
bh-type-a-class-closed-under-permutational-lamp-wreaths	claim		**ESTABLISHED**	
binary-leavitt-pbh-via-chen-module-lines	route	binary-leavitt-unit-group-satisfies-pbh		
binary-leavitt-pbh-via-mif-envelope	route	binary-leavitt-unit-group-satisfies-pbh		
binary-leavitt-unit-group-satisfies-pbh	claim		**ESTABLISHED (2026-09-13)**	
boone-higman-closed-under-finite-direct-products	claim		**OPEN.**	
boone-higman-conjecture	claim			
boone-higman-from-countable-decidable-bh	route	boone-higman-conjecture		
boone-higman-from-infinite-simple-inputs	route	boone-higman-conjecture		
boone-higman-from-simple-fa-inputs	route	boone-higman-conjecture		
boone-higman-iff-fp-just-infinite-hosts	claim		**ESTABLISHED**	
boone-higman-iff-infinite-simple-inputs	claim		**ESTABLISHED 2026-08-30**	
boone-higman-iff-isolated-hosts-and-local-boone-higman	claim		**ESTABLISHED**	
boone-higman-iff-simple-kazhdan-decidable-inputs	claim		**ESTABLISHED**	
boone-higman-implies-relative-permutational-bh	claim		**ESTABLISHED (literature import).**	
boone-higman-thompson-simple-envelope	claim			
boone-higman-type-a-class-closed-under-finite-extensions	claim			
boone-higman-via-bader-shalom-lattice-hosts	route	boone-higman-conjecture		
boone-higman-via-bffhz-action-image	route	boone-higman-conjecture		
boone-higman-via-central-simple-leavitt-tensor-host	route	boone-higman-conjecture		
boone-higman-via-ck-maximal-kernel	route	boone-higman-conjecture		
boone-higman-via-ck-quotient-cosets	route	boone-higman-conjecture		
boone-higman-via-complexity-graded-universal-inputs	route	boone-higman-conjecture		
boone-higman-via-decidable-edge-towers	route	boone-higman-conjecture		
boone-higman-via-enlarged-shell-stabilizers	route	boone-higman-conjecture		
boone-higman-via-fiber-product-criterion	route	boone-higman-conjecture		
boone-higman-via-finite-bi-index-envelope	route	boone-higman-conjecture		
boone-higman-via-finitely-presented-simple-ring-quotient	route	boone-higman-conjecture		
boone-higman-via-fp-shell-envelopes	route	boone-higman-conjecture		
boone-higman-via-hypothesis-free-shift-compiler	route	boone-higman-conjecture		
boone-higman-via-infinite-shift-compiler	route	boone-higman-conjecture		
boone-higman-via-isolated-overgroup-and-local-boone-higman	route	boone-higman-conjecture		
boone-higman-via-kazhdan-boone-higman	route	boone-higman-conjecture		
boone-higman-via-leavitt-units-of-rigid-sft-overgroups	route	boone-higman-conjecture	**OPEN.**	
boone-higman-via-local-boone-higman	route	boone-higman-conjecture		
boone-higman-via-maximal-quotient-of-the-envelope	route	boone-higman-conjecture		
boone-higman-via-perfect-shell-envelopes	route	boone-higman-conjecture		
boone-higman-via-permutational-boone-higman	route	boone-higman-conjecture		
boone-higman-via-projective-ring-host	route	boone-higman-conjecture		
boone-higman-via-rover-nekrashevych-hosts	route	boone-higman-conjecture		
boone-higman-via-sandwich-ring-simplicity	route	boone-higman-conjecture		
boone-higman-via-shell-germ-stabilizers	route	boone-higman-conjecture		
boone-higman-via-shell-stabilizer-overgroups	route	boone-higman-conjecture		
boone-higman-via-shift-higman-compiler	route	boone-higman-conjecture		
boone-higman-via-units-of-cantor-crossed-leavitt-tensors	route	boone-higman-conjecture		
boone-higman-via-universal-fp-self-similar-host	route	boone-higman-conjecture		
boone-higman-via-universal-leavitt-host	route	boone-higman-conjecture		
boone-higman-via-v-times-aperiodic-sft-full-groups	route	boone-higman-conjecture		
c-tilde-artin-groups-satisfy-permutational-boone-higman	claim		**ESTABLISHED.**	
cat0-groups-satisfy-boone-higman	claim		**OPEN.**	
centerless-fp-finitely-many-conjugacy-classes-gives-pbh	claim		**ESTABLISHED**	
char-p-linear-groups-satisfy-permutational-boone-higman	claim		**ESTABLISHED (2026-09-13)**	
char-p-linear-pbh-via-polynomial-self-similar-hosts	route	char-p-linear-groups-satisfy-permutational-boone-higman		
char-two-curve-linear-groups-satisfy-boone-higman	claim			
char-two-curve-linear-groups-satisfy-permutational-boone-higman	claim		**ESTABLISHED (2026-09-13)**	
char-two-laurent-linear-groups-satisfy-boone-higman	claim			
char-two-leavitt-path-pbh-via-binary-embedding	route	char-two-leavitt-path-unit-groups-satisfy-pbh		
char-two-leavitt-path-unit-groups-satisfy-pbh	claim		**ESTABLISHED (2026-09-13)**	
char-two-linear-groups-satisfy-boone-higman	claim		**ESTABLISHED (2026-09-12)**	
